Feature,Importance
num__total_files_burned,0.21989552055378117
num__total_printed_pages,0.1303406217062954
num__employee_seniority_years,0.0792943399001542
num__num_unique_campus,0.04504234545077482
num__num_printed_pages_off_hours,0.04265876083499271
num__num_entries,0.03497954998072408
num__employee_classification,0.031144741801436737
num__burned_from_other,0.025750657011457897
num__entry_during_weekend,0.01762854585528306
cat__employee_origin_country_Israel,0.015479147179682563
cat__employee_campus_Campus A,0.015014565763839516
num__has_foreign_citizenship,0.014945110614575702
cat__employee_campus_Campus C,0.01409348840677777
cat__employee_campus_Campus B,0.013599396562475769
cat__employee_origin_country_China,0.012781218478314624
num__is_contractor,0.011152049693312308
num__has_medical_history,0.0108372802643562
cat__employee_department_Engineering Department,0.010387510898113714
cat__employee_position_Secretary,0.010336246768924308
cat__employee_position_Integration and Testing Engineer,0.008794575831221882
num__hostility_country_level,0.008789652407099103
cat__employee_department_Operations and Manufacturing,0.008566375975851115
cat__employee_department_Marketing and Business Development,0.008366092852011913
cat__employee_origin_country_Ukraine,0.007792942195721895
cat__employee_origin_country_France,0.007693596695146323
cat__employee_origin_country_Russia,0.007494833596573288
num__has_criminal_record,0.007123987467684394
cat__employee_department_R&D Department,0.006447831591410296
cat__employee_origin_country_Poland,0.006403991234454669
cat__employee_position_Data Scientist,0.006331297906459956
cat__employee_origin_country_Ethiopia,0.006208422802682824
cat__employee_position_Enterprise Systems Developer (ERP / CRM / SAP),0.005648009914864623
cat__employee_origin_country_Canada,0.005441302888743619
cat__employee_department_Project Management,0.00534717686732744
cat__employee_department_Information Technology,0.005261291855950789
cat__employee_origin_country_India,0.005141105017596006
num__trip_day_number,0.005075025927332489
cat__employee_position_Systems Engineer,0.004700708159305835
cat__employee_origin_country_USA,0.004605322052986715
cat__employee_department_Human Resources,0.004432485374257623
cat__employee_position_Design Engineer,0.003978456117181761
cat__employee_position_Head of R&D,0.0038128282654357644
cat__employee_department_Finance,0.003804637979470663
cat__employee_position_Manufacturing Engineer,0.0036317961605004034
cat__employee_position_Warehouse Manager,0.0035577496236442667
cat__employee_department_Security and Information Security,0.0034621347365120197
cat__employee_position_Head of Engineering,0.0034039861228725467
cat__employee_origin_country_UK,0.003336852246334436
cat__employee_position_Account Manager,0.0033357505556956073
cat__employee_position_Process Engineer,0.003281581640777546
num__is_abroad,0.003255005423101347
cat__employee_position_Marketing Manager,0.003241682440081327
cat__employee_position_Test Engineer,0.003134080685391347
cat__employee_position_Logistics Manager,0.002976352275537961
cat__employee_position_Bid Coordinator,0.0029628896512030206
cat__employee_origin_country_Brazil,0.0027714954961114225
cat__employee_origin_country_Argentina,0.0027671735016408317
cat__employee_position_Development Engineer (Hardware / Software / Mechanical),0.0027038818912595245
cat__employee_position_Algorithm Engineer,0.0024561221596508392
cat__employee_position_Business Development Manager,0.00242247675302824
cat__employee_origin_country_Morocco,0.002274736252803948
cat__employee_position_Operations Manager,0.0021736403522931587
cat__employee_origin_country_Germany,0.002123120285129659
cat__employee_position_Procurement Officer,0.002103418215884
cat__employee_position_BI Developer / Data Analyst,0.0020522642765646274
cat__employee_position_Information Security Specialist,0.002041486305134752
cat__employee_origin_country_Romania,0.0019520369360671824
cat__employee_position_Project Manager,0.0018966299450989146
cat__employee_position_Finance Manager,0.001735468638873574
cat__employee_origin_country_South Africa,0.00171620272589938
cat__employee_department_Legal and Regulation,0.0015308992453390998
cat__employee_position_Project Coordinator,0.0015194551582180034
cat__employee_position_Training Coordinator,0.0013964746098927986
cat__employee_position_IT Director,0.0013617302157659427
cat__employee_position_Security Officer,0.001336144627960778
cat__employee_position_Defense Export Compliance Officer,0.0013240399206998984
cat__employee_position_Project Engineer,0.0012774784578671347
cat__employee_position_Physical Access Control,0.001267268874154894
cat__employee_position_Information Security Investigator,0.001258652157445421
cat__employee_position_Systems and Network Administrator,0.0011694291448619183
cat__employee_origin_country_Yemen,0.0011176411076359643
cat__employee_origin_country_Iran,0.0011152793991165936
cat__employee_position_Chief Information Security Officer (CISO),0.0010944339964370094
cat__employee_origin_country_Georgia,0.0009403780183780132
cat__employee_position_Budget Manager,0.0009399347123095653
cat__employee_position_Accountant,0.0008639780709494968
cat__employee_position_Regulatory Affairs Officer,0.0006792325737926981
cat__employee_position_Recruitment Coordinator,0.0005742746561716948
cat__employee_position_Financial Analyst,0.0005267577464947038
cat__employee_origin_country_Hungary,0.0004821800269277194
cat__employee_position_Employee Welfare Coordinator,0.0004695260646039596
cat__employee_origin_country_Turkey,0.0003328079045617813
cat__employee_position_HR Manager,0.0003267947323571309
cat__employee_department_Executive Management,0.0002597761135512409
cat__employee_position_Cyber Analyst,0.00024001172308866592
cat__employee_origin_country_Libya,0.00014860603755376722
cat__employee_origin_country_Qatar,0.00012354248089886628
cat__employee_origin_country_Sudan,0.00012121680471838602
cat__employee_origin_country_North Korea,0.00010751825936333262
cat__employee_origin_country_Syria,0.00010264716940344724
cat__employee_position_Chief Marketing and Business Development Officer,9.792439160660717e-05
cat__employee_origin_country_Tunisia,9.350181386430636e-05
cat__employee_position_Chief Operating Officer (COO),8.694426943253871e-05
cat__employee_position_Chief Executive Officer (CEO),6.346260615058437e-05
cat__employee_origin_country_Pakistan,6.028397722252508e-05
cat__employee_origin_country_Kuwait,5.145449666364142e-05
cat__employee_position_Legal Advisor,5.140982992345766e-05
cat__employee_position_Chief Human Resources Officer (CHRO),4.739611986870668e-05
cat__employee_origin_country_Malaysia,3.732228434163888e-05
cat__employee_origin_country_Iraq,9.126201270539232e-06
